"ISO","ID","FPRO_88","EDITDATE"
"AU","31","AT",""
"BR","3","GE",""
"BR","5","GE",""
"BR","7","NI",""
"BR","13","GE",""
"BR","15","GE",""
"BR","18","AT",""
"BR","24","GE",""
"BR","25","GE",""
"BR","26","GE",""
"BR","26","SH",""
"BR","27","GW",""
"BR","27","SH",""
"BR","28","GW",""
"BW","1","FL",""
"BW","2","SL",""
"BW","3","FL",""
"BW","3","GW",""
"BW","4","FL",""
"BW","5","GW",""
"BW","7","SQ",""
"CI","1","FE",""
"CI","2","FE",""
"CI","3","SQ",""
"CI","5","FL",""
"CI","7","FE",""
"CI","7","SQ",""
"CN","2","CS",""
"CN","3","ST",""
"CN","4","FA",""
"CN","5","CS",""
"CN","6","VE",""
"CN","7","FA",""
"CN","8","FA",""
"CN","11","CS",""
"CN","12","CS",""
"CN","14","SO",""
"CN","14","SP",""
"CN","18","GE",""
"CN","20","FA",""
"CN","22","FE",""
"CN","24","FE",""
"CN","26","SH",""
"CN","29","FA",""
"CN","30","FA",""
"CN","31","NI",""
"CN","32","FA",""
"CN","33","FL",""
"CN","33","GW",""
"CN","37","IF",""
"CN","39","K",""
"CN","42","AD",""
"CN","44","FA",""
"CN","45","FA",""
"CN","46","ST",""
"CN","48","FA",""
"CN","50","CS",""
"CN","51","CS",""
"CO","2","FA",""
"CO","3","SQ",""
"CO","5","SQ",""
"CO","7","FE",""
"CO","7","SQ",""
"CO","11","SC",""
"CO","13","SC",""
"CO","15","FE",""
"CO","16","FA",""
"CO","17","FL",""
"CU","1","GW",""
"CU","3","FA",""
"CU","4","GW",""
"CU","4","VE",""
"CU","6","VE",""
"CU","9","SL",""
"CU","12","FA",""
"CU","13","GW",""
"CU","13","VE",""
"CU","14","K",""
"CU","15","SP",""
"CU","18","VE",""
"CU","19","VE",""
"CU","20","SL",""
"CU","20","SO",""
"CU","21","VE",""
"CU","22","GE",""
"ES","3","SL",""
"ES","3","VE",""
"ES","4","SL",""
"ES","4","VE",""
"ES","6","CR",""
"ES","11","CC",""
"ES","11","WE",""
"ES","12","SL",""
"ES","12","WE",""
"ES","13","WE",""
"ES","15","SL",""
"FI","6","GW",""
"FR","11","TO",""
"GH","1","FA",""
"GH","2","SO",""
