"Attribute","Value","Description","FAO77","FAO90","KEY_ID","Order"
"PORT","M","moderately porous (40-60 vol%)","True","False","K_PORT","2"
"PORT","S","slightly porous (<40 vol%)","True","False","K_PORT","3"
"POS","C","crest","True","False","K_POS","1"
"POS","D","depression","True","False","K_POS","8"
"POS","F","flat","True","False","K_POS","6"
"POS","L","lower slope","True","False","K_POS","4"
"POS","M","middle slope","True","False","K_POS","3"
"POS","S","slope","True","False","K_POS","5"
"POS","U","upper slope","True","False","K_POS","2"
"POS","V","open depression","True","False","K_POS","7"
"PTRN","0","none","True","True","K_PTRN","1"
"PTRN","C","closed depression","True","True","K_PTRN","2"
"PTRN","I","isolated","True","True","K_PTRN","5"
"PTRN","L","linear","True","True","K_PTRN","3"
"PTRN","R","reticulate","True","True","K_PTRN","4"
"REF","G","good","True","True","K_REF","3"
"REF","M","moderate","True","True","K_REF","2"
"REF","P","poor","True","True","K_REF","1"
"REF","V","very good","True","True","K_REF","4"
"REST","H","highly","True","True","K_REST","2"
"REST","L","poorly","True","True","K_REST","4"
"REST","M","moderately","True","True","K_REST","3"
"REST","V","very highly","True","True","K_REST","1"
"ROCK","0","no rocks observed","True","False","K_ROCK","1"
"ROCK","ER","extremely rocky","True","False","K_ROCK","6"
"ROCK","FR","fairly rocky","True","False","K_ROCK","3"
"ROCK","LR","little rocky","True","False","K_ROCK","2"
"ROCK","OU","outcrop","True","False","K_ROCK","7"
"ROCK","RO","rocky","True","False","K_ROCK","4"
"ROCK","VR","very rocky","True","False","K_ROCK","5"
"ROCKQ","0","no","True","False","K_ROCKQ","1"
"ROCKQ","A","abundant","False","True","K_ROCKQ","9"
"ROCKQ","C","common","False","True","K_ROCKQ","5"
"ROCKQ","D","dominant","True","True","K_ROCKQ","10"
"ROCKQ","F","few","True","True","K_ROCKQ","4"
"ROCKQ","M","many","False","True","K_ROCKQ","8"
"ROCKQ","N","none","False","True","K_ROCKQ","2"
"ROCKQ","Q","frequent","True","False","K_ROCKQ","6"
"ROCKQ","R","very frequent","True","False","K_ROCKQ","7"
"ROCKQ","V","very few","True","True","K_ROCKQ","3"
"ROCKS","B","boulders","False","True","K_ROCKS","9"
"ROCKS","C","coarse gravel","False","True","K_ROCKS","5"
"ROCKS","Z","coarse gravel and stones","False","True","K_ROCKS","6"
"ROCKS","F","fine gravel","False","True","K_ROCKS","1"
"ROCKS","Q","fine and medium gravel","False","True","K_ROCKS","2"
"ROCKS","L","large boulders","False","True","K_ROCKS","10"
"ROCKS","M","medium gravel","False","True","K_ROCKS","3"
"ROCKS","D","medium and coarse gravel","False","True","K_ROCKS","4"
"ROCKS","S","stones","False","True","K_ROCKS","7"
"ROCKS","G","stones and boulders","False","True","K_ROCKS","8"
"ROCKW","F","fresh","True","True","K_ROCKW",""
"ROCKW","S","strongly weathered","True","True","K_ROCKW",""
"ROCKW","W","weathered","True","True","K_ROCKW",""
"ROL","C","in cracks","True","True","K_ROL","1"
"ROL","M","in mat at top of horizon","True","True","K_ROL","2"
"ROL","P","between peds","True","True","K_ROL","3"
"ROL","S","matted around stones or gravel","True","True","K_ROL","4"
"ROL","T","throughout","True","True","K_ROL","5"
"ROQ","0","no","True","False","K_ROQ","1"
"ROQ","C","common","True","True","K_ROQ","3"
"ROQ","F","few","True","True","K_ROQ","2"
"ROQ","M","many","True","True","K_ROQ","4"
"ROS","C","coarse","True","True","K_ROS","8"
"ROS","F","fine","True","True","K_ROS","4"
"ROS","M","medium","True","True","K_ROS","6"
"ROS","V","very fine","True","True","K_ROS","2"
"ROS","X","very fine to coarse","True","True","K_ROS","5"
"ROT","0","crop rotation scheme not relevant","True","True","K_ROT",""
"CROP","FRG","grapes","True","False","K_CROP","40"
"CROP","MAN","annual crops","True","False","K_CROP","48"
"CROP","MPE","perennial crops","True","False","K_CROP","49"
"CROP","MSP","pyrethrum","True","False","K_CROP","46"
"CROP","MSR","rubber","True","False","K_CROP","47"
"CROP","MXX","crops (unspecified)","True","False","K_CROP","50"
"CROP","OL","oil/protein crops","True","False","K_CROP","18"
"CROP","OLA","safflower","True","False","K_CROP","21"
"CROP","OLB","castor bean","True","False","K_CROP","24"
"CROP","OLC","coconut","True","False","K_CROP","22"
"CROP","OLE","sesame","True","False","K_CROP","27"
"CROP","OLG","ground nut","True","False","K_CROP","20"
"CROP","OLH","chick pea","True","False","K_CROP","25"
"CROP","OLI","oil palm","True","False","K_CROP","23"
"CROP","OLO","olive","True","False","K_CROP","28"
"CROP","OLU","sunflower","True","False","K_CROP","26"
"CROP","OLY","soya bean","True","False","K_CROP","19"
"CROP","RT","root crops","True","False","K_CROP","8"
"CROP","RTC","cassava","True","False","K_CROP","9"
"CROP","RTP","potatoes","True","False","K_CROP","10"
"CROP","RTT","taro","True","False","K_CROP","12"
"CROP","RTY","yam","True","False","K_CROP","11"
"CROP","ST","stimulants","True","False","K_CROP","41"
"CROP","STA","cocoa","True","False","K_CROP","43"
"CROP","STB","tobacco","True","False","K_CROP","45"
"CROP","STC","coffee","True","False","K_CROP","44"
"CROP","STT","tea","True","False","K_CROP","42"
"CROP","SUB","sugar beet","True","False","K_CROP","14"
"CROP","SUC","sugar cane","True","False","K_CROP","13"
"CROP","VE","vegetables","True","False","K_CROP","15"
"CUTC","0","no","True","False","K_CUTC","1"
"CUTC","B","broken","True","False","K_CUTC","3"
