"ISO_P","ID_P","ISO_S","ID_S","DIST","DIR","REF","EDITDATE"
"AU","4","AU","1","0","","",""
"AU","31","AU","2","1","","V","1994-08-29 00:00:00"
"BR","1","BR","1","10","SE","G",""
"BR","2","BR","23","10","NW","G",""
"BR","3","BR","23","40","SSW","G",""
"BR","4","BR","13","80","NE","M","1994-05-10 00:00:00"
"BR","5","BR","13","90","NE","M","1994-05-10 00:00:00"
"BR","6","BR","17","115","SW","M","1994-05-10 00:00:00"
"BR","7","BR","17","34","NNW","G",""
"BR","8","BR","14","130","SSE","P",""
"BR","9","BR","14","36","SE","P",""
"BR","10","BR","12","24","NNW","G",""
"BR","11","BR","10","65","W","G",""
"BR","12","BR","11","2","S","V",""
"BR","13","BR","11","15","N","G",""
"BR","14","BR","24","1","","V",""
"BR","15","BR","24","5","","V",""
"BR","16","BR","21","5","","V",""
"BR","17","BR","22","25","E","M",""
"BR","18","BR","3","25","NE","M",""
"BR","19","BR","16","20","NNW","V",""
"BR","20","BR","15","35","SW","M",""
"BR","21","BR","19","20","SW","G",""
"BR","22","BR","4","25","S","M",""
"BR","23","BR","5","40","N","",""
"BR","24","BR","6","70","S","G",""
"BR","25","BR","7","25","E","V",""
"BR","26","BR","8","60","NNE","M","1996-02-20 00:00:00"
"BR","27","BR","9","160","NE","M",""
"BR","28","BR","9","160","NE","M",""
"BW","1","BW","2","28","E","","1994-12-12 00:00:00"
"BW","2","BW","2","28","E","","1994-12-12 00:00:00"
"BW","3","BW","2","10","E","","1994-12-12 00:00:00"
"BW","4","BW","2","13","N","","1994-12-08 00:00:00"
"BW","5","BW","2","20","SE","","1994-12-12 00:00:00"
"BW","6","BW","2","30","E","","1994-12-12 00:00:00"
"BW","7","BW","1","13","S","","1994-12-12 00:00:00"
"CA","1","CA","1","0","","","1994-07-20 00:00:00"
"CI","1","CI","1","5","W","V","1994-03-23 00:00:00"
"CI","2","CI","1","5","W","V","1994-03-23 00:00:00"
"CI","3","CI","1","5","W","V","1994-03-23 00:00:00"
"CI","4","CI","1","5","W","V","1994-03-23 00:00:00"
"CI","5","CI","1","5","W","V","1994-03-23 00:00:00"
"CI","6","CI","1","3","WNW","V","1994-03-23 00:00:00"
"CI","7","CI","1","5","W","V","1994-03-23 00:00:00"
"CM","1","CM","1","0","","",""
"CN","1","CN","1","22","SSE","G","1996-04-10 00:00:00"
"CN","2","CN","1","55","E","",""
"CN","3","CN","6","13","SSE","G","1996-09-30 00:00:00"
"CN","4","CN","2","24","W","",""
"CN","5","CN","2","41","W","",""
"CN","6","CN","7","66","NW","",""
"CN","6","CN","13","0","","",""
"CN","7","CN","3","36","SW","M","1994-04-19 00:00:00"
"CN","7","CN","16","36","SW","M","1994-04-19 00:00:00"
"CN","8","CN","3","80","ESE","",""
"CN","8","CN","8","5","","",""
"CN","9","CN","4","25","SSE","V",""
"CN","10","CN","5","2","ESE","V",""
"CN","11","CN","5","2","E","V",""
"CN","12","CN","9","17","ESE","V",""
"CN","13","CN","9","2","E","V",""
"CN","14","CN","10","35","WNW","V",""
"CN","15","CN","9","60","SW","",""
"CN","16","CN","9","60","NW","",""
"CN","16","CN","11","40","N","",""
"CN","17","CN","68","5","W","V",""
"CN","18","CN","64","50","W","V",""
"CN","18","CN","68","60","SW","G","1994-03-21 00:00:00"
"CN","19","CN","65","30","W","M","1994-03-21 00:00:00"
"CN","20","CN","66","30","SE","G","1994-03-21 00:00:00"
"CN","21","CN","34","12","W","V","1994-04-12 00:00:00"
"CN","22","CN","34","12","W","V","1994-04-12 00:00:00"
"CN","23","CN","34","12","W","V","1994-04-12 00:00:00"
"CN","24","CN","34","12","W","V","1994-04-12 00:00:00"
"CN","25","CN","25","20","S","V",""
"CN","26","CN","26","60","NNW","S",""
"CN","27","CN","26","60","NNW","M","1994-05-09 00:00:00"
"CN","28","CN","26","60","NNW","M","1994-05-09 00:00:00"
"CN","29","CN","30","32","SSE","M","1994-05-17 00:00:00"
"CN","30","CN","32","67","SE","M","1994-05-17 00:00:00"
"CN","31","CN","30","20","ENE","M","1994-05-17 00:00:00"
"CN","32","CN","32","29","NNE","M","1994-05-17 00:00:00"
"CN","33","CN","3","8","S","G","1994-05-17 00:00:00"
"CN","34","CN","41","11","N","G","1994-05-16 00:00:00"
"CN","34","CN","42","65","SE","M","1994-05-16 00:00:00"
"CN","34","CN","43","65","WSW","M","1994-05-16 00:00:00"
"CN","35","CN","18","3","E","G","1996-10-10 00:00:00"
"CN","35","CN","44","28","SSW","M","1996-10-10 00:00:00"
"CN","36","CN","19","15","S","G",""
"CN","36","CN","44","0","","",""
"CN","37","CN","45","0","","",""
"CN","37","CN","48","0","","",""
"CN","37","CN","49","0","","",""
"CN","37","CN","50","0","","",""
"CN","38","CN","21","7","S","G",""
"CN","38","CN","52","0","","",""
"CN","38","CN","53","0","","",""
"CN","39","CN","21","14","S","G",""
"CN","39","CN","52","0","","",""
