"SAMPLENO","MINERAL","VALUE"
"670085","anatase","3"
"670085","chloritic matter","65"
"670085","epidote","1"
"670085","muscovite","25"
"670085","tourmaline","1"
"670085","zircone","7"
"670086","anatase","4"
"670086","brookite","1"
"670086","chloritic matter","52"
"670086","epidote","4"
"670086","muscovite","23"
"670086","rutile","1"
"670086","tourmaline","1"
"670086","zircone","14"
"670087","anatase","7"
"670087","chloritic matter","47"
"670087","epidote","3"
"670087","muscovite","28"
"670087","rutile","2"
"670087","zircone","13"
"670088","anatase","4"
"670088","chloritic matter","68"
"670088","epidote","2"
"670088","muscovite","24"
"670088","zircone","2"
"670111","aggregates","1"
"670111","augite","3"
"670111","epidote","28"
"670111","green hornblende","2"
"670111","grenate","52"
"670111","grossular","14"
"670112","epidote","27"
"670112","grenate","54"
"670112","grossular","19"
"670113","aggregates","1"
"670113","epidote","33"
"670113","grenate","46"
"670113","grossular","29"
"670113","zircone","1"
"670116","anatase","1"
"670116","biotite","1"
"670116","brookite","1"
"670116","epidote","52"
"670116","green hornblende","3"
"670116","grenate","29"
"670116","tourmaline","4"
"670116","unknown","1"
"670116","zircone","8"
"670117","anatase","1"
"670117","epidote","71"
"670117","green hornblende","6"
"670117","grenate","5"
"670117","tourmaline","11"
"670117","unknown","2"
"670117","zircone","4"
"670118","anatase","1"
"670118","epidote","70"
"670118","glaucophane","1"
"670118","green hornblende","4"
"670118","grenate","7"
"670118","muscovite","2"
"670118","sillimanite (grains)","1"
"670118","tourmaline","12"
"670118","unknown","1"
"670118","zircone","1"
"670141","anatase","4"
"670141","andalusite","7"
"670141","tourmaline","69"
"670141","zircone","20"
"670142","anatase","4"
"670142","andalusite","12"
"670142","green hornblende","1"
"670142","grenate","1"
"670142","tourmaline","64"
"670142","zircone","18"
"670143","anatase","6"
"670143","andalusite","7"
"670143","green hornblende","1"
"670143","tourmaline","71"
"670143","zircone","15"
"670144","anatase","12"
"670144","andalusite","3"
"670144","green hornblende","1"
"670144","rutile","7"
"670144","titanite","1"
"670144","tourmaline","22"
"670144","unknown","3"
"670144","zircone","51"
"670145","anatase","13"
"670145","andalusite","3"
"670145","green hornblende","3"
"670145","rutile","7"
"670145","titanite","2"
"670145","tourmaline","33"
"670145","zircone","39"
"670146","anatase","16"
"670146","andalusite","5"
"670146","rutile","5"
"670146","titanite","1"
"670146","tourmaline","30"
