"Hue","Value","Chroma","ColourCode","Name"
"10R","2.5","1","10R 2.5/1","reddish black"
"10R","2.5","2","10R 2.5/2","very dusky red"
"10R","3","1","10R 3/1","dark reddish grey"
"10R","3","2","10R 3/2","dusky red"
"10R","3","3","10R 3/3","dusky red"
"10R","3","4","10R 3/4","dusky red"
"10R","3","6","10R 3/6","dark red"
"10R","4","1","10R 4/1","dark reddish grey"
"10R","4","2","10R 4/2","weak red"
"10R","4","3","10R 4/3","weak red"
"10R","4","4","10R 4/4","weak red"
"10R","4","6","10R 4/6","red"
"10R","4","8","10R 4/8","red"
"10R","5","1","10R 5/1","reddish grey"
"10R","5","2","10R 5/2","weak red"
"10R","5","3","10R 5/3","weak red"
"10R","5","4","10R 5/4","weak red"
"10R","5","6","10R 5/6","red"
"10R","5","8","10R 5/8","red"
"10R","6","1","10R 6/1","reddish grey"
"10R","6","2","10R 6/2","pale red"
"10R","6","3","10R 6/3","pale red"
"10R","6","4","10R 6/4","pale red"
"10R","6","6","10R 6/6","light red"
"10R","6","8","10R 6/8","light red"
"10Y","3","1","10Y 3/1","- onbeschreven -"
"10Y","4","1","10Y 4/1","- onbeschreven -"
"10Y","4","2","10Y 4/2","- onbeschreven -"
"10Y","5","1","10Y 5/1","- onbeschreven -"
"10Y","5","2","10Y 5/2","- onbeschreven -"
"10Y","5","4","10Y 5/4","- onbeschreven -"
"10Y","6","1","10Y 6/1","- onbeschreven -"
"10Y","6","2","10Y 6/2","- onbeschreven -"
"10Y","6","4","10Y 6/4","- onbeschreven -"
"10Y","6","6","10Y 6/6","- onbeschreven -"
"10Y","6","8","10Y 6/8","- onbeschreven -"
"10Y","7","1","10Y 7/1","- onbeschreven -"
"10Y","7","2","10Y 7/2","- onbeschreven -"
"10Y","7","4","10Y 7/4","- onbeschreven -"
"10Y","7","6","10Y 7/6","- onbeschreven -"
"10Y","7","8","10Y 7/8","- onbeschreven -"
"10Y","8","1","10Y 8/1","- onbeschreven -"
"10Y","8","2","10Y 8/2","- onbeschreven -"
"10Y","8","4","10Y 8/4","- onbeschreven -"
"10Y","8","6","10Y 8/6","- onbeschreven -"
"10Y","8","8","10Y 8/8","- onbeschreven -"
"10Y","8","10","10Y 8/10","- onbeschreven -"
"10YR","2","1","10YR 2/1","black"
"10YR","2","2","10YR 2/2","very dark brown"
"10YR","3","1","10YR 3/1","very dark grey"
"10YR","3","2","10YR 3/2","very dark greyish brown"
"10YR","3","3","10YR 3/3","dark brown"
"10YR","3","4","10YR 3/4","dark yellowish brown"
"10YR","3","6","10YR 3/6","dark yellowish brown"
"10YR","4","1","10YR 4/1","dark grey"
"10YR","4","2","10YR 4/2","dark greyish brown"
"10YR","4","3","10YR 4/3","(dark) brown"
"10YR","4","4","10YR 4/4","dark yellowish brown"
"10YR","4","6","10YR 4/6","dark yellowish brown"
"10YR","5","1","10YR 5/1","grey"
"10YR","5","2","10YR 5/2","greyish brown"
"10YR","5","3","10YR 5/3","brown"
"10YR","5","4","10YR 5/4","yellowish brown"
"10YR","5","6","10YR 5/6","yellowish brown"
"10YR","5","8","10YR 5/8","yellowish brown"
"10YR","6","1","10YR 6/1","(light) grey"
"10YR","6","2","10YR 6/2","light brownish grey"
"10YR","6","3","10YR 6/3","pale brown"
"10YR","6","4","10YR 6/4","light yellowish brown"
"10YR","6","6","10YR 6/6","brownish yellow"
"10YR","6","8","10YR 6/8","brownish yellow"
"10YR","7","1","10YR 7/1","light grey"
"10YR","7","2","10YR 7/2","light grey"
"10YR","7","3","10YR 7/3","very pale brown"
"10YR","7","4","10YR 7/4","very pale brown"
"10YR","7","6","10YR 7/6","yellow"
"10YR","7","8","10YR 7/8","yellow"
"10YR","8","1","10YR 8/1","white"
"10YR","8","2","10YR 8/2","white"
"10YR","8","3","10YR 8/3","very pale brown"
"10YR","8","4","10YR 8/4","very pale brown"
"10YR","8","6","10YR 8/6","yellow"
"10YR","8","8","10YR 8/8","yellow"
"2.5Y","2","0","2.5Y 2/0","black"
"2.5Y","3","0","2.5Y 3/0","very dark grey"
"2.5Y","3","2","2.5Y 3/2","very dark greyish brown"
"2.5Y","4","0","2.5Y 4/0","dark grey"
"2.5Y","4","2","2.5Y 4/2","dark greyish brown"
"2.5Y","4","4","2.5Y 4/4","olive brown"
"2.5Y","5","0","2.5Y 5/0","grey"
"2.5Y","5","2","2.5Y 5/2","greyish brown"
"2.5Y","5","4","2.5Y 5/4","light olive brown"
"2.5Y","5","6","2.5Y 5/6","light olive brown"
"2.5Y","6","0","2.5Y 6/0","(light) grey"
"2.5Y","6","2","2.5Y 6/2","light brownish grey"
"2.5Y","6","4","2.5Y 6/4","light yellowish brown"
"2.5Y","6","6","2.5Y 6/6","olive yellow"
"2.5Y","6","8","2.5Y 6/8","olive yellow"
"2.5Y","7","0","2.5Y 7/0","light grey"
"2.5Y","7","2","2.5Y 7/2","light grey"
