"ISO","ID","TOP","BOTT","SAMPLENO","AS","BA","CD","CO","CR","CU","MN","MO","NI","PB","SR","V","ZN","TE_REM","DATE","VER"
"BW","1","0","12","850431","","","","37","41","18","590","","67","","12","","40","Siderius W. 1973. Soil transitions in Central East Botswana. ISRIC Library BW-1973.01. Profile 23","2002-02-07 00:00:00","OSP"
"BW","1","12","40","850432","","","","48","41","34","490","","73","","12","","43","Siderius W. 1973. Soil transitions in Central East Botswana. ISRIC Library BW-1973.01. Profile 23","2002-02-07 00:00:00","OSP"
"BW","1","40","76","850433","","","","19","70","31","480","","50","","19","","32","Siderius W. 1973. Soil transitions in Central East Botswana. ISRIC Library BW-1973.01. Profile 23","2002-02-07 00:00:00","OSP"
"BW","1","76","122","850434","","","","15","60","24","450","","35","","6","","19","Siderius W. 1973. Soil transitions in Central East Botswana. ISRIC Library BW-1973.01. Profile 23","2002-02-07 00:00:00","OSP"
"BW","1","122","160","850435","","380","","31","60","38","472","","54","","16","","31","Siderius W. 1973. Soil transitions in Central East Botswana. ISRIC Library BW-1973.01. Profile 23","2002-02-07 00:00:00","OSP"
"FI","6","0","4","xxx001","","","","15","97","26","1900","4.4","28","32","610","150","43","Sillanpää M. 1971.The Eighth Session of the ECA Working Party on Soil Classification and Survey. The Route of the Study Tour in Finland 8-9 July 1971. Profile 8.","2002-12-19 00:00:00","OSP"
"FI","6","4","18","xxx002","","","","19","120","24","1800","4.5","31","27","690","190","41","Sillanpää M. 1971.The Eighth Session of the ECA Working Party on Soil Classification and Survey. The Route of the Study Tour in Finland 8-9 July 1971. Profile 8.","2002-12-19 00:00:00","OSP"
"FI","6","18","35","xxx003","","","","20","140","20","1800","5.7","33","21","690","190","38","Sillanpää M. 1971.The Eighth Session of the ECA Working Party on Soil Classification and Survey. The Route of the Study Tour in Finland 8-9 July 1971. Profile 8.","2002-12-19 00:00:00","OSP"
"FI","6","80","120","xxx006","","","","22","150","37","1700","2.5","38","25","1000","210","43","Sillanpää M. 1971.The Eighth Session of the ECA Working Party on Soil Classification and Survey. The Route of the Study Tour in Finland 8-9 July 1971. Profile 8.","2002-12-19 00:00:00","OSP"
"FR","14","0","10","010001","","","","37","170","25","","","74","22","","","124","Data from excursion guide COST Action 622 in Auvergne, 30 May - 3 June 2001","2003-06-24 00:00:00","OSP"
"FR","14","25","32","010003","","","0.25","44","194","32","","","88","7","","","105","Data from excursion guide COST Action 622 in Auvergne, 30 May - 3 June 2001","2003-06-24 00:00:00","OSP"
"FR","14","40","120","010005","0.6","","0.1","40","157","50","","","72","6","","","118","Data from excursion guide COST Action 622 in Auvergne, 30 May - 3 June 2001","2003-06-24 00:00:00","OSP"
